Time,Lat,Lon,Dpth,ODO,Turb,Ct,pH,Temp,ORP,BGA
1660754488038532,0.0,0.0,3.1999998092651367,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660754547773977,0.0,0.0,2.9099998474121094,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660754607736815,0.0,0.0,1.9900000095367432,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660754668348224,0.0,0.0,3.7200000286102295,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660754728126525,0.0,0.0,3.7200000286102295,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660754788025532,0.0,0.0,2.929999828338623,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660754848274402,0.0,0.0,3.129999876022339,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660754908017301,0.0,0.0,3.859999895095825,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660754968529258,0.0,0.0,3.68999981880188,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660755028268853,0.0,0.0,3.679999828338623,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660755087758221,0.0,0.0,3.6399998664855957,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660755148282679,0.0,0.0,1.7599999904632568,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660755208605541,0.0,0.0,2.0399999618530273,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660755268278688,0.0,0.0,2.3899998664855957,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660755328354169,0.0,0.0,2.869999885559082,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660755388026645,0.0,0.0,3.259999990463257,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660755448864934,0.0,0.0,3.6999998092651367,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660755508297314,0.0,0.0,3.68999981880188,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660755568258468,0.0,0.0,3.7099997997283936,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660755627986304,0.0,0.0,3.759999990463257,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660755687994220,0.0,0.0,2.0899999141693115,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660755748522578,0.0,0.0,2.9099998474121094,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660755808034663,0.0,0.0,3.799999952316284,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660755868018837,0.0,0.0,1.5499999523162842,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660755928277168,0.0,0.0,1.96999990940094,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660755988786653,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660756048782197,0.0,0.0,2.4700000286102295,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660756108529618,0.0,0.0,2.619999885559082,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660756168286544,0.0,0.0,3.0199999809265137,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660756228538642,0.0,0.0,3.4700000286102295,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660756287781503,0.0,0.0,2.0199999809265137,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660756348622651,0.0,0.0,2.549999952316284,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660756408536739,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660756468022604,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660758543342654,0.0,0.0,2.169999837875366,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660758602561013,0.0,0.0,2.990000009536743,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660758663034584,0.0,0.0,5.009999752044678,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660758722558310,0.0,0.0,1.6999999284744263,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660758783444172,0.0,0.0,1.6899999380111694,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660758843881216,0.0,0.0,1.6999999284744263,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660758903473436,0.0,0.0,1.71999990940094,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660758981689978,0.0,0.0,2.6399998664855957,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660759113626991,0.0,0.0,3.2100000381469727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660759173918574,0.0,0.0,1.6999999284744263,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660759233566541,0.0,0.0,1.959999918937683,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660759293314228,0.0,0.0,1.6999999284744263,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660759353555342,0.0,0.0,2.559999942779541,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660759515349316,0.0,0.0,5.109999656677246,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660759632626228,0.0,0.0,1.6899999380111694,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660759692098611,0.0,0.0,2.049999952316284,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660759752353750,0.0,0.0,5.269999980926514,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660759812354196,0.0,0.0,4.859999656677246,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660760156346521,0.0,0.0,2.819999933242798,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660760216813120,0.0,0.0,2.2699999809265137,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660760276062518,0.0,0.0,1.6999999284744263,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660760336313788,0.0,0.0,1.709999918937683,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660760396813080,0.0,0.0,1.6999999284744263,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660760456061439,0.0,0.0,5.109999656677246,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660760516317097,0.0,0.0,2.309999942779541,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660760578058578,0.0,0.0,1.6799999475479126,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660760636318499,0.0,0.0,1.6799999475479126,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660760696385121,0.0,0.0,1.6899999380111694,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660760756562574,0.0,0.0,5.239999771118164,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660760816066467,0.0,0.0,4.679999828338623,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660760876065795,0.0,0.0,3.2799999713897705,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660760936900323,0.0,0.0,2.549999952316284,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660760996574909,0.0,0.0,3.049999952316284,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660761056403133,0.0,0.0,4.190000057220459,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660761116822666,0.0,0.0,1.6799999475479126,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660761176322672,0.0,0.0,1.6899999380111694,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660761235812479,0.0,0.0,1.6200000047683716,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660761296066614,0.0,0.0,1.6899999380111694,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660761356068885,0.0,0.0,2.359999895095825,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660761416304788,0.0,0.0,4.130000114440918,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660761476298537,0.0,0.0,2.049999952316284,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660761536309750,0.0,0.0,1.6799999475479126,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660761596564858,0.0,0.0,2.559999942779541,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660761657333586,0.0,0.0,1.6799999475479126,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660761716066542,0.0,0.0,2.069999933242798,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660761776069534,0.0,0.0,3.049999952316284,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660761836324481,0.0,0.0,3.7099997997283936,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660761896069435,0.0,0.0,4.96999979019165,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660761956309993,0.0,0.0,3.2899999618530273,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660762016901664,0.0,0.0,4.049999713897705,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660762076325428,0.0,0.0,3.7300000190734863,0.0,0.0,0.0,0.0,0.0,0.0,0.0
